source,target,category,color
Asad Nasir,Institute Of Chartered Accountants In England And Wales,Professional Qualifications,#9467bd
Sakib Eltaff,Oxford Brookes University,Masters Institute,#2ca02c
Sakib Eltaff,Association Of Chartered Certified Accountants,Professional Qualifications,#9467bd
Sakib Eltaff,Certified General Accountant,Professional Qualifications,#9467bd
Muhammad Kashif A. Habib,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Kamran Arshad Inam,Ned University Of Engineering And Technology,Bachelor Institute,#1f77b4
Kamran Arshad Inam,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Zahid Mir,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Zahid Mir,Preston University,Masters Institute,#2ca02c
Zafar Mahmood,Institute Of Cost And Management Accountants Of Pakistan,Professional Qualifications,#9467bd
Muhammad Bilal Ahmed,Lahore University Of Management Sciences,Bachelor Institute,#1f77b4
Muhammad Bilal Ahmed,University Of Cambridge,Masters Institute,#2ca02c
Muhammad Bilal Ahmed,Cfa Institute,Professional Qualifications,#9467bd
Matin Amjad,London School Of Economics And Political Science,Bachelor Institute,#1f77b4
Muhammad Farid Alam,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Bakhtiar Hameed Wain,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Rizwan Ahmad,Punjab University,Bachelor Institute,#1f77b4
Rizwan Ahmad,Punjab University,Masters Institute,#2ca02c
Rizwan Ahmad,Punjab University Law College,Masters Institute,#2ca02c
Muhammad Adrees,Punjab University,Bachelor Institute,#1f77b4
Muhammad Adrees,London Metropolitan University,Masters Institute,#2ca02c
Osman Khalid Waheed,Harvard University,Bachelor Institute,#1f77b4
Hassan Javed,Whu-Otto Beisheim School Of Management,Bachelor Institute,#1f77b4
Hassan Javed,Nene College,Professional Qualifications,#9467bd
Hassan Javed,Isms School,Professional Qualifications,#9467bd
Duraid Qureshi,Lahore University Of Management Sciences,Masters Institute,#2ca02c
Hafiz Farooq Ahmad,University Of Illinois,Bachelor Institute,#1f77b4
Asim Ghani,Iqra University,Bachelor Institute,#1f77b4
Asim Ghani,Iqra University,Masters Institute,#2ca02c
Naveed Godil,Karachi University,Bachelor Institute,#1f77b4
Asif Misbah,Institute Of Business Administration Karachi,Bachelor Institute,#1f77b4
Javed Ahmed,Society Of Actuaries,Professional Qualifications,#9467bd
Javed Ahmed,Institute Of Actuaries,Professional Qualifications,#9467bd
Khawaja Khalil Shah,Lahore University Of Management Sciences,Masters Institute,#2ca02c
Khawaja Khalil Shah,Cfa Institute,Professional Qualifications,#9467bd
Azfar Arshad,Ned University Of Engineering And Technology,Bachelor Institute,#1f77b4
Azfar Arshad,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Mohammed Ali Ahmed,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Naved Yunus,Karachi University,Bachelor Institute,#1f77b4
Naved Yunus,University Of Connecticut,Bachelor Institute,#1f77b4
Javed Ahmedjee,Karachi University,Bachelor Institute,#1f77b4
Javed Ahmedjee,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Irfan Chawala,Government College,Bachelor Institute,#1f77b4
Irfan Chawala,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Kamal Mahmood Amjad Mian,International Islamic University Islamabad,Bachelor Institute,#1f77b4
Kamal Mahmood Amjad Mian,Harvard University,Masters Institute,#2ca02c
Akhter Khalid Waheed,Punjab University,Bachelor Institute,#1f77b4
Dr. Munir Ahmed,Dawood University Of Engineering And Technology,Bachelor Institute,#1f77b4
Dr. Munir Ahmed,University Of Connecticut,Masters Institute,#2ca02c
Dr. Munir Ahmed,University Of Connecticut,Phd Insitute,#ff7f0e
Muhammad Zahid,Punjab University,Bachelor Institute,#1f77b4
Zia Hyder Naqi,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Zia Hyder Naqi,Institute Of Management Sciences,Masters Institute,#2ca02c
Rashid Jahangir (Acting),Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Babar Mahmood Mirza,University Of Glasgow,Masters Institute,#2ca02c
Syed Muhammad Daniyal,Ned University Of Engineering And Technology,Bachelor Institute,#1f77b4
Syed Muhammad Daniyal,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Ghazanfar Hussain Mirza,Ned University Of Engineering And Technology,Bachelor Institute,#1f77b4
Faisal Hussain,Cardiff Business School,Masters Institute,#2ca02c
