id,type
Muhammad Aminuddin,CEO
Muhammad Shoaib Ibrahim,CEO
Asmer Baig,CEO
Haroon Ahmad Khan,CEO
Abdul Waheed,CEO
M. Zeid Yousuf Saigol,CEO
Hussain Jamil,CEO
Bilal Sharif,CEO
Fareed Mughis Sheikh,CEO
Anjum Adil,CEO
Mohammad Hussain Hirji,CEO
Mehreen Obaid Agha,CEO
Dr. Mahmood Ahmad,CEO
Samera Irfan Shaikh,CEO
Naveed M. Sheikh,CEO
Aslam Faruque,CEO
Amir Ahmed Chapra,CEO
Khurrum Salim,CEO
Salem Rehman,CEO
Tayyab Aijaz,CEO
Ahmad Shafi,CEO
Razak H. M. Bengali,CEO
Zubair Razzak Palwala,CEO
Iffat Zehra Mankani,CEO
Adam Jadoon,CEO
Muhammad Irfan-ul-Haq,CEO
Ali Saleem Rana (Acting),CEO
Adnan Ahmed Khan,CEO
Nadeem Ellahi Shaikh,CEO
Shazad Ali Khan,CEO
Faraz Mubeen Jumani,CEO
Ahmed Ali Muhammad Amin Bawany,CEO
Aftab Ahmad Ch.,CEO
Muhammad Ali Jameel,CEO
Noor Muhammad Zakaria,CEO
Jehanzeb Zafar,CEO
Imran Baxamoosa,CEO
Sohail Ahmed,CEO
Muhammad Naeem ul Hasnain Mirza,CEO
Muhammad Asif,CEO
Basheer Ahmed Chowdry,CEO
Najm-ul- Hassan,CEO
A. Razzak Ahmed,CEO
Syed Ather Abbas,CEO
M. Haroon Qassim,CEO
Muhammad Ehtisham Khan,CEO
Amjad Waqar,CEO
Lt Col Abdul Khaliq Khan (Retd),CEO
Abid Mehmood,CEO
Basit Rehman Malik,CEO
Mr. Muhammad Nadeem,CEO
Dr. ShahIn Kuli Khan Khattak,CEO
Abbas Sarfaraz Khan,CEO
Haroon Shahzada Ellahi Shaikh,CEO
Muhammad Rizwan ul Haque,CEO
Mian Mustafa Ali Tariq,CEO
Abid Sayeed,CEO
Nabeel Anjum Malik,CEO
Amin Ellahi Sheikh,CEO
Danish Elahi,CEO
Assad Saifullah Khan,CEO
Mohammad Alamgir Jmail Khan,CEO
Khurram Iftikhar,CEO
Mujtaba Ahmad,CEO
Muhammad Mohsin Ali,CEO
Ali Pervez Ahmed,CEO
Imran Ghafoor,CEO
Zain ul Haq Qureshi,CEO
Raza Ellahi Shaikh,CEO
Raheel Qamar Ahmad,CEO
Saif Tariq,CEO
Teizoon Kisat,CEO
Shehryar Ali Taseer,CEO
Waseem Ahmad,CEO
Mussaid Hanif,CEO
Muzaffar F. Baweja,CEO
Taqi Mohammad,CEO
Khawar Anwar Khawaja,CEO
Mahfuz-ur-Rehman Pasha,CEO
Khawaja Mohammad Nadeem,CEO
Shabana Atta,CEO
Naveed Riaz,CEO
Imran Maqbool,CEO
Khawaja Imtaiz Ahmed,CEO
Shams Rafi,CEO
Khalid Kuli Khan Khattak,CEO
Rizwan Akhtar,CEO
Ghulam Hyder,CEO
Naeem Shafi,CEO
Fazal Karim Dadabhoy,CEO
Ali Kuli Khan Khattak.,CEO
Ishtiaq Ahmad,CEO
Alma College,Institute
American College Of Switzerland,Institute
American Institute Of Certified Public Accountants,Institute
American Intercontinental University System,Institute
American University,Institute
American University Of London,Institute
Army Medical College,Institute
Association Of Chartered Certified Accountants,Institute
Babson College,Institute
Bahauddin Zakariya University,Institute
Bahria University,Institute
Ball State University,Institute
Bentley University,Institute
Boston University,Institute
Brown University,Institute
Business School Lausanne,Institute
California State University,Institute
Cardiff Business School,Institute
Carnegie Mellon University,Institute
Cass Business School,Institute
Centre For Islamic Economics,Institute
Certified General Accountant,Institute
Cfa Institute,Institute
Chartered Accountants Australia And New Zealand,Institute
Chartered Certified Accountant From The Association Of Chartered Certified Accountants U.K,Institute
Chartered Insurance Institute London,Institute
City St George's,Institute
Clark University,Institute
College Of Law,Institute
College Of Wooster,Institute
Columbia College,Institute
Columbia University,Institute
Concordia University,Institute
Cornell University,Institute
Coventry University,Institute
Dawood University Of Engineering And Technology,Institute
De La Salle University,Institute
Depaul University,Institute
Dow Medical College,Institute
Drake University,Institute
Etisalat University College,Institute
F.G Sir Syed College Rawalpindi,Institute
Fast National University,Institute
Federal College Of Commerce,Institute
Federal Government Cantt Public School,Institute
Gabelli School Of Business,Institute
Georgetown University,Institute
Georgia Institute Of Technology,Institute
Gettysburg College,Institute
Gik Institute Of Engineering Sciences And Technology,Institute
Gordon College Rawalpindi,Institute
Government College,Institute
Greenwich University,Institute
Hamdard University,Institute
Harvard University,Institute
Illinois Institute Of Technology,Institute
Imperial College London,Institute
Insead,Institute
Institute Of Actuaries,Institute
Institute Of Business Administration Karachi,Institute
Institute Of Business Management Karachi,Institute
Institute Of Chartered Accountants In England And Wales,Institute
Institute Of Chartered Accountants Of Pakistan,Institute
Institute Of Cost And Management Accountants Of Pakistan,Institute
Institute Of Management Sciences,Institute
Institute Of Paper Chemistry,Institute
International Islamic University Islamabad,Institute
International University,Institute
Iqra University,Institute
Islamia College For Women,Institute
Isms School,Institute
Karachi University,Institute
Kellogg School Of Management,Institute
Kensington College Of Business,Institute
Kenyon College,Institute
King'S College London,Institute
Lahore American School,Institute
Lahore College For Women University,Institute
Lahore School Of Economics,Institute
Lahore University Of Management Sciences,Institute
Lehigh University,Institute
Lock Haven University Of Pennsylvania,Institute
London Business School,Institute
London Metropolitan University,Institute
London School Of Economics And Political Science,Institute
Loyola University Of Chicago,Institute
Mccallum Graduate School Of Business,Institute
Mcgill University,Institute
Mehran University Of Engineering And Technology,Institute
Melbourne Institute Of Technology Pty Ltd.,Institute
Mit Sloan School Of Management,Institute
Mount Holyoke College,Institute
National Defence University Islamabad,Institute
National University,Institute
National University Of Computer And Emerging Sciences,Institute
National University Of Sciences And Technology,Institute
Ned University Of Engineering And Technology,Institute
Nene College,Institute
New York University,Institute
Nicholls State University,Institute
Nishtar Medical College,Institute
Northeastern University,Institute
Northwestern University,Institute
Nova Southeastern University,Institute
Ohio State University,Institute
Osaka University,Institute
Oxford Brookes University,Institute
Pak-American Institute Of Management Sciences,Institute
Pakistan Air Force Academy,Institute
Pakistan Military Academy Kakul,Institute
Preston University,Institute
Princeton University,Institute
Punjab University,Institute
Punjab University Law College,Institute
Purdue University,Institute
Quaid-I-Azam University,Institute
Queen'S University,Institute
Regent'S Business School London,Institute
Rotman School Of Management,Institute
Royal Military Academy Sandhurst,Institute
Saint Louis University,Institute
Shaheed Zulfikar Ali Bhutto Institute Of Science And Technology,Institute
Sindh Muslim Government Arts And Commerce College,Institute
Soas University Of London,Institute
Society Of Actuaries,Institute
Southeastern University,Institute
Southern Arkansas University,Institute
Stanford University,Institute
Syracuse University,Institute
Texas Tech University,Institute
Textile Institute,Institute
Tufts University,Institute
Ulsan University,Institute
University College London,Institute
University Of Bristol,Institute
University Of Buckingham,Institute
University Of California,Institute
University Of Cambridge,Institute
University Of Chicago,Institute
University Of Connecticut,Institute
University Of Denver,Institute
University Of Engineering And Technology,Institute
University Of Glasgow,Institute
University Of Hull,Institute
University Of Illinois,Institute
University Of Kent,Institute
University Of London,Institute
University Of Manchester,Institute
University Of Michigan,Institute
University Of New South Wales,Institute
University Of Oxford,Institute
University Of Pennsylvania,Institute
University Of Peshawar,Institute
University Of Rochester,Institute
University Of Salford,Institute
University Of San Francisco,Institute
University Of Southern California,Institute
University Of Tennessee,Institute
University Of Texas At Austin,Institute
University Of The Pacific,Institute
University Of The Philippines,Institute
University Of Toronto,Institute
University Of West Florida,Institute
University Of Wolverhampton,Institute
Upsala College,Institute
Virginia Polytechnic Institute And State University,Institute
Wharton School Of The University Of Pennsylvania,Institute
Whu-Otto Beisheim School Of Management,Institute
Wichita State University,Institute
Wright State University,Institute
Yale University,Institute
